# RECORDING
5904,528983,-0.8799,-0.1215,-0.2938,-19.81,43.96,2.80,18.80,81.25,291.74,123.88,-8.33,743.11
5905,529016,-0.9023,-0.1488,-0.1581,-12.81,53.34,-0.21,22.31,83.21,295.72,122.80,-7.24,741.85
5906,529049,-0.9130,-0.1391,-0.0512,0.56,54.74,-6.23,26.38,85.23,299.82,122.44,-7.61,741.94
5907,529082,-0.9301,-0.1137,-0.0132,10.64,52.22,-12.18,31.13,87.23,304.24,122.80,-7.61,740.76
5908,529115,-0.9560,-0.0820,0.0039,1.40,49.00,-17.85,38.02,89.17,311.10,122.44,-8.69,738.81
5909,529148,-0.9716,-0.0761,0.0234,1.19,45.50,-23.38,-141.63,88.93,131.42,122.80,-9.06,738.42
5910,529181,-0.9428,-0.0503,0.0483,19.95,42.28,-28.49,-138.13,87.35,134.25,123.16,-9.78,737.64
5911,529214,-0.9814,-0.0337,0.0630,34.30,40.25,-32.76,-135.82,85.83,135.42,123.16,-10.14,737.34
5912,529247,-0.8750,-0.0107,0.0620,43.26,38.50,-35.00,-133.94,84.35,135.86,123.52,-11.23,737.25
5913,529280,-1.0521,0.0015,0.0298,35.77,37.38,-32.90,-133.59,82.99,135.02,124.25,-11.95,735.69
5914,529313,-1.1468,0.0122,0.0137,22.61,37.87,-30.73,-134.30,81.69,133.55,124.97,-12.68,734.91
5915,529346,-1.0858,0.0112,0.0654,17.64,35.42,-29.33,-134.41,80.45,132.84,125.70,-13.04,735.69
5916,529379,-1.1278,0.0356,0.0703,31.43,31.22,-25.55,-134.05,79.41,132.14,125.70,-13.40,734.91
5917,529412,-1.0521,0.0620,0.0400,16.80,27.72,-21.14,-134.45,78.57,131.17,126.06,-14.13,735.00
5918,529445,-0.9155,0.0410,0.0386,-18.34,25.41,-17.99,-135.90,77.84,130.31,127.14,-15.21,735.69
5919,529478,-0.9882,0.0059,0.0630,-23.17,23.24,-14.56,-137.30,77.23,129.66,127.87,-15.94,734.61
5920,529511,-0.9350,0.0229,0.0908,-12.60,19.04,-12.74,-138.02,76.74,129.33,127.87,-15.94,734.91
5921,529544,-1.0673,0.0634,0.1230,-9.80,13.09,-11.20,-138.30,76.44,129.38,127.87,-16.66,734.61
5922,529577,-1.0707,0.1147,0.1630,-13.37,6.37,-7.42,-138.50,76.39,129.62,128.23,-17.03,734.91
5923,529610,-1.0321,0.1210,0.1801,-7.14,-1.75,-2.59,-138.24,76.64,130.13,128.96,-17.39,734.61
5924,529643,-1.0307,0.1469,0.1479,-6.93,-7.49,4.69,-138.28,77.20,130.32,128.96,-17.03,734.91
5925,529676,-0.9340,0.1191,0.1405,-14.56,-12.11,12.04,-138.91,78.03,130.17,129.32,-16.66,734.43
5926,529709,-0.3606,-0.1249,0.2816,39.76,-22.54,14.00,-135.90,79.01,131.86,128.60,-16.66,737.73
